sequence_id,entity_type,entity_id,start_time,end_time,window_size,event_sequence,route_sequence,status_sequence,method_sequence,avg_response_time,max_response_time,max_risk_score,critical_count,warning_count,error_count,server_error_count,slow_count,very_slow_count,critical_route_count,login_failed_count,unauthorized_count,payment_failed_count,database_timeout_count,label,label_id,reason,scenario_sequence,main_scenarios,scenario_label_sequence,scenario_label_distribution
SEQ-00011,ip,172.16.10.1,2026-05-25 22:42:48,2026-05-25 23:58:22,20,login_success page_view page_view login_success login_success login_success page_view record_created page_view data_loaded login_success record_created login_success page_view page_view record_created page_view record_created record_created login_success,/api/notifications / /api/products /api/students /api/notifications /api/inventory /login /api/reports /login /login /api/profile /dashboard /login / /dashboard/alumno /api/inventory /dashboard /api/students /api/profile /api/students,200 200 200 200 200 200 200 201 200 200 200 201 200 200 200 201 200 201 201 200,POST GET GET POST POST POST GET POST GET GET POST POST POST GET GET POST GET POST POST POST,439.0,680.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00012,ip,172.16.10.1,2026-05-25 23:02:43,2026-05-26 00:18:56,20,login_success page_view record_created page_view data_loaded login_success record_created login_success page_view page_view record_created page_view record_created record_created login_success page_view record_created page_view page_view login_success,/api/inventory /login /api/reports /login /login /api/profile /dashboard /login / /dashboard/alumno /api/inventory /dashboard /api/students /api/profile /api/students /api/products /api/profile /api/profile /api/notifications /api/reports,200 200 201 200 200 200 201 200 200 200 201 200 201 201 200 200 201 200 200 200,POST GET POST GET GET POST POST POST GET GET POST GET POST POST POST GET POST GET GET POST,401.8,643.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00013,ip,172.16.10.1,2026-05-25 23:22:25,2026-05-26 00:38:38,20,login_success record_created login_success page_view page_view record_created page_view record_created record_created login_success page_view record_created page_view page_view login_success login_success page_view data_loaded data_loaded login_success,/api/profile /dashboard /login / /dashboard/alumno /api/inventory /dashboard /api/students /api/profile /api/students /api/products /api/profile /api/profile /api/notifications /api/reports /api/notifications /api/reports /api/students /dashboard/alumno /api/students,200 201 200 200 200 201 200 201 201 200 200 201 200 200 200 200 200 200 200 200,POST POST POST GET GET POST GET POST POST POST GET POST GET GET POST POST GET GET GET POST,426.9,698.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00014,ip,172.16.10.1,2026-05-25 23:42:39,2026-05-26 00:58:23,20,record_created page_view record_created record_created login_success page_view record_created page_view page_view login_success login_success page_view data_loaded data_loaded login_success page_view page_view data_loaded login_success record_created,/api/inventory /dashboard /api/students /api/profile /api/students /api/products /api/profile /api/profile /api/notifications /api/reports /api/notifications /api/reports /api/students /dashboard/alumno /api/students / /login /dashboard /api/products /api/profile,201 200 201 201 200 200 201 200 200 200 200 200 200 200 200 200 200 200 200 201,POST GET POST POST POST GET POST GET GET POST POST GET GET GET POST GET GET GET POST POST,429.7,698.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00015,ip,172.16.10.1,2026-05-26 00:02:16,2026-05-26 01:18:58,20,page_view record_created page_view page_view login_success login_success page_view data_loaded data_loaded login_success page_view page_view data_loaded login_success record_created page_view page_view page_view data_loaded data_loaded,/api/products /api/profile /api/profile /api/notifications /api/reports /api/notifications /api/reports /api/students /dashboard/alumno /api/students / /login /dashboard /api/products /api/profile /api/profile /dashboard /api/profile /api/notifications /dashboard/alumno,200 201 200 200 200 200 200 200 200 200 200 200 200 200 201 200 200 200 200 200,GET POST GET GET POST POST GET GET GET POST GET GET GET POST POST GET GET GET GET GET,420.1,739.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00016,ip,172.16.10.10,2026-05-28 05:53:00,2026-05-28 07:08:32,20,login_success record_created login_success record_created login_success page_view data_loaded login_success page_view page_view page_view data_loaded record_created login_success page_view page_view data_loaded record_created login_success page_view,/api/reports /dashboard/alumno /login /api/products /dashboard/alumno /dashboard/alumno / /api/reports /dashboard/alumno /dashboard/alumno /api/profile /dashboard /api/products /api/inventory / / /api/profile /login /api/students /api/profile,200 201 200 201 200 200 200 200 200 200 200 200 201 200 200 200 200 201 200 200,POST POST POST POST POST GET GET POST GET GET GET GET POST POST GET GET GET POST POST GET,456.25,745.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00017,ip,172.16.10.10,2026-05-28 06:12:54,2026-05-28 07:28:52,20,page_view data_loaded login_success page_view page_view page_view data_loaded record_created login_success page_view page_view data_loaded record_created login_success page_view data_loaded page_view login_success record_created page_view,/dashboard/alumno / /api/reports /dashboard/alumno /dashboard/alumno /api/profile /dashboard /api/products /api/inventory / / /api/profile /login /api/students /api/profile /api/reports /api/students / /login /api/students,200 200 200 200 200 200 200 201 200 200 200 200 201 200 200 200 200 200 201 200,GET GET POST GET GET GET GET POST POST GET GET GET POST POST GET GET GET POST POST GET,451.1,745.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00018,ip,172.16.10.10,2026-05-28 06:32:53,2026-05-28 07:48:34,20,page_view data_loaded record_created login_success page_view page_view data_loaded record_created login_success page_view data_loaded page_view login_success record_created page_view page_view record_created data_loaded data_loaded record_created,/api/profile /dashboard /api/products /api/inventory / / /api/profile /login /api/students /api/profile /api/reports /api/students / /login /api/students /dashboard /api/products /dashboard /login /api/students,200 200 201 200 200 200 200 201 200 200 200 200 200 201 200 200 201 200 200 201,GET GET POST POST GET GET GET POST POST GET GET GET POST POST GET GET POST GET GET POST,416.05,745.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00019,ip,172.16.10.10,2026-05-28 06:52:26,2026-05-28 08:09:02,20,page_view data_loaded record_created login_success page_view data_loaded page_view login_success record_created page_view page_view record_created data_loaded data_loaded record_created data_loaded record_created page_view data_loaded page_view,/ /api/profile /login /api/students /api/profile /api/reports /api/students / /login /api/students /dashboard /api/products /dashboard /login /api/students /api/notifications /api/inventory /api/inventory /dashboard /api/notifications,200 200 201 200 200 200 200 200 201 200 200 201 200 200 201 200 201 200 200 200,GET GET POST POST GET GET GET POST POST GET GET POST GET GET POST GET POST GET GET GET,456.8,745.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00020,ip,172.16.10.10,2026-05-28 07:12:22,2026-05-28 08:28:28,20,data_loaded page_view login_success record_created page_view page_view record_created data_loaded data_loaded record_created data_loaded record_created page_view data_loaded page_view page_view page_view login_success record_created record_created,/api/reports /api/students / /login /api/students /dashboard /api/products /dashboard /login /api/students /api/notifications /api/inventory /api/inventory /dashboard /api/notifications / /api/inventory /dashboard /dashboard/alumno /api/products,200 200 200 201 200 200 201 200 200 201 200 201 200 200 200 200 200 200 201 201,GET GET POST POST GET GET POST GET GET POST GET POST GET GET GET GET GET POST POST POST,419.1,732.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00021,ip,172.16.10.10,2026-05-28 07:32:20,2026-05-28 08:48:18,20,page_view record_created data_loaded data_loaded record_created data_loaded record_created page_view data_loaded page_view page_view page_view login_success record_created record_created data_loaded page_view page_view data_loaded record_created,/dashboard /api/products /dashboard /login /api/students /api/notifications /api/inventory /api/inventory /dashboard /api/notifications / /api/inventory /dashboard /dashboard/alumno /api/products /login /dashboard /api/reports /api/students /,200 201 200 200 201 200 201 200 200 200 200 200 200 201 201 200 200 200 200 201,GET POST GET GET POST GET POST GET GET GET GET GET POST POST POST GET GET GET GET POST,398.3,732.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00022,ip,172.16.10.10,2026-05-28 07:52:17,2026-05-28 09:08:39,20,data_loaded record_created page_view data_loaded page_view page_view page_view login_success record_created record_created data_loaded page_view page_view data_loaded record_created data_loaded login_success record_created login_success page_view,/api/notifications /api/inventory /api/inventory /dashboard /api/notifications / /api/inventory /dashboard /dashboard/alumno /api/products /login /dashboard /api/reports /api/students / /api/notifications /api/inventory /dashboard/alumno /dashboard /dashboard/alumno,200 201 200 200 200 200 200 200 201 201 200 200 200 200 201 200 200 201 200 200,GET POST GET GET GET GET GET POST POST POST GET GET GET GET POST GET POST POST POST GET,414.05,732.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00023,ip,172.16.10.10,2026-05-28 08:12:27,2026-05-28 09:28:15,20,page_view page_view login_success record_created record_created data_loaded page_view page_view data_loaded record_created data_loaded login_success record_created login_success page_view page_view record_created login_success login_success login_success,/ /api/inventory /dashboard /dashboard/alumno /api/products /login /dashboard /api/reports /api/students / /api/notifications /api/inventory /dashboard/alumno /dashboard /dashboard/alumno /api/products /api/students /api/reports /api/students /api/profile,200 200 200 201 201 200 200 200 200 201 200 200 201 200 200 200 201 200 200 200,GET GET POST POST POST GET GET GET GET POST GET POST POST POST GET GET POST POST POST POST,364.2,649.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00024,ip,172.16.10.10,2026-05-28 08:32:17,2026-05-28 09:48:28,20,data_loaded page_view page_view data_loaded record_created data_loaded login_success record_created login_success page_view page_view record_created login_success login_success login_success data_loaded page_view record_created page_view data_loaded,/login /dashboard /api/reports /api/students / /api/notifications /api/inventory /dashboard/alumno /dashboard /dashboard/alumno /api/products /api/students /api/reports /api/students /api/profile /api/inventory /api/profile /login /api/reports /api/students,200 200 200 200 201 200 200 201 200 200 200 201 200 200 200 200 200 201 200 200,GET GET GET GET POST GET POST POST POST GET GET POST POST POST POST GET GET POST GET GET,377.05,696.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
